flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h14,h23,325,325,48
h20,h41,604,604,47
h17,h103,268,268,44
h5,h109,538,538,41
h11,h52,326,326,35
h3,h22,734,734,34
h17,h98,411,411,32
h21,h73,445,445,32
h7,h132,541,541,30
h26,h13,440,440,29
h1,h75,685,685,28
h15,h75,641,641,28
h28,h23,605,605,27
h3,h128,353,353,27
h25,h132,562,562,25
h32,h140,724,724,25
h7,h49,772,772,25
h9,h46,322,322,25
h18,h24,651,651,24
h2,h86,561,561,23
h4,h115,644,644,23
h13,h43,444,444,22
h7,h78,260,260,22
h13,h144,612,612,21
h22,h132,157,157,21
h25,h99,238,238,21
h27,h7,266,266,21
h19,h3,643,643,20
h26,h91,694,694,20
h28,h95,269,269,20
h8,h21,257,257,20
h24,h7,713,713,19
h27,h127,433,433,19
h5,h34,738,738,19
h6,h87,340,340,19
h26,h131,80,80,18
h3,h19,195,195,18
h5,h30,164,164,18
h14,h118,213,213,17
h18,h16,567,567,17
h24,h14,635,635,17
h26,h117,737,737,17
h26,h4,370,370,17
h28,h40,756,756,17
h4,h113,648,648,17
h19,h124,227,227,16
h21,h1,345,345,16
h27,h66,82,82,16
h7,h22,485,485,16
h10,h102,764,764,15
h14,h41,568,568,15
h2,h76,624,624,15
h2,h82,391,391,15
h22,h121,521,521,15
h22,h80,532,532,15
h24,h17,271,271,15
h25,h6,261,261,15
h27,h57,374,374,15
h28,h88,757,757,15
h29,h116,317,317,15
h30,h143,557,557,15
h30,h55,414,414,15
h31,h94,492,492,15
h1,h131,631,631,14
h11,h138,201,201,14
h16,h18,482,482,14
h18,h55,732,732,14
h20,h35,536,536,14
h20,h83,102,102,14
h21,h102,695,695,14
h24,h54,318,318,14
h25,h139,37,37,14
h26,h124,231,231,14
h27,h138,750,750,14
h27,h34,666,666,14
h28,h56,589,589,14
h29,h82,510,510,14
h8,h41,520,520,14
h8,h98,57,57,14
h9,h89,488,488,14
h1,h91,177,177,13
h14,h99,265,265,13
h15,h89,459,459,13
h16,h116,73,73,13
h20,h123,678,678,13
h22,h35,486,486,13
h23,h74,578,578,13
h29,h128,753,753,13
h5,h112,171,171,13
h5,h130,435,435,13
h9,h48,528,528,13
h10,h105,475,475,12
h12,h110,500,500,12
h14,h130,302,302,12
h15,h31,413,413,12
h15,h85,640,640,12
h20,h57,185,185,12
h21,h117,378,378,12
h21,h6,636,636,12
h25,h84,611,611,12
h31,h58,113,113,12
h10,h28,110,110,11
h12,h32,404,404,11
h13,h35,531,531,11
h16,h68,571,571,11
h17,h105,627,627,11
h19,h6,143,143,11
h2,h116,712,712,11
h25,h131,236,236,11
h25,h2,676,676,11
h27,h11,721,721,11
h27,h91,496,496,11
h28,h60,701,701,11
h30,h95,467,467,11
h32,h70,125,125,11
h32,h88,16,16,11
h9,h25,390,390,11
h11,h107,324,324,10
h13,h93,344,344,10
h18,h57,507,507,10
h21,h10,606,606,10
h23,h117,338,338,10
h26,h117,456,456,10
h26,h42,150,150,10
h26,h68,375,375,10
h3,h24,729,729,10
h31,h12,677,677,10
h4,h51,607,607,10
h7,h15,457,457,10
h8,h29,127,127,10
h8,h44,262,262,10
h13,h15,311,311,9
h17,h28,758,758,9
h17,h43,619,619,9
h17,h79,122,122,9
h20,h26,280,280,9
h21,h21,770,770,9
h23,h143,682,682,9
h25,h82,216,216,9
h26,h128,214,214,9
h26,h20,461,461,9
h28,h137,702,702,9
h28,h63,394,394,9
h3,h119,256,256,9
h6,h127,687,687,9
h7,h23,719,719,9
h7,h58,610,610,9
h8,h98,663,663,9
h13,h57,615,615,8
h15,h6,740,740,8
h18,h60,361,361,8
h18,h60,741,741,8
h2,h141,463,463,8
h24,h106,743,743,8
h27,h140,48,48,8
h3,h26,630,630,8
h30,h32,434,434,8
h30,h58,429,429,8
h32,h72,182,182,8
h5,h65,577,577,8
h8,h57,24,24,8
h9,h31,570,570,8
h1,h91,529,529,7
h11,h103,39,39,7
h11,h70,95,95,7
h15,h13,649,649,7
h15,h17,518,518,7
h15,h20,254,254,7
h17,h28,674,674,7
h19,h15,7,7,7
h2,h109,490,490,7
h2,h18,30,30,7
h20,h20,728,728,7
h20,h22,642,642,7
h22,h142,442,442,7
h27,h132,580,580,7
h28,h142,402,402,7
h32,h121,357,357,7
h32,h33,385,385,7
h6,h77,62,62,7
h14,h107,472,472,6
h15,h98,74,74,6
h21,h65,431,431,6
h22,h69,107,107,6
h24,h120,329,329,6
h3,h106,28,28,6
h32,h100,438,438,6
h32,h30,360,360,6
h32,h51,498,498,6
h5,h64,300,300,6
h7,h30,540,540,6
h9,h31,387,387,6
h9,h4,511,511,6
h9,h92,323,323,6
h1,h97,608,608,5
h11,h36,316,316,5
h12,h95,516,516,5
h20,h112,356,356,5
h23,h138,395,395,5
h25,h131,299,299,5
h27,h132,420,420,5
h29,h49,524,524,5
h3,h121,2,2,5
h3,h67,96,96,5
h31,h87,93,93,5
h32,h20,208,208,5
h4,h8,609,609,5
h9,h38,392,392,5
h14,h1,366,366,4
h15,h78,120,120,4
h18,h4,415,415,4
h20,h129,330,330,4
h30,h54,156,156,4
h32,h16,162,162,4
h4,h15,526,526,4
h9,h3,149,149,4
h9,h39,298,298,4
h15,h125,616,616,3
h18,h142,620,620,3
h18,h27,460,460,3
h26,h131,371,371,3
h31,h59,29,29,3
h31,h68,45,45,3
h32,h121,76,76,3
h5,h76,412,412,3
h9,h108,551,551,3
h21,h137,759,759,1
h4,h140,761,761,1
h5,h62,583,583,1
h7,h107,320,320,1
