flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h22,h120,1096,1096,48
h14,h109,538,538,47
h26,h56,842,842,47
h27,h6,261,261,47
h18,h55,732,732,46
h31,h118,670,670,45
h13,h85,943,943,43
h3,h51,1440,1440,43
h4,h113,648,648,42
h13,h69,860,860,41
h25,h82,1520,1520,41
h31,h40,792,792,41
h10,h63,545,545,40
h11,h49,772,772,40
h18,h91,529,529,40
h7,h103,1251,1251,40
h11,h100,769,769,39
h11,h72,1086,1086,39
h15,h140,724,724,39
h11,h58,920,920,38
h24,h143,994,994,38
h25,h15,1301,1301,38
h25,h60,1387,1387,38
h30,h137,1110,1110,38
h28,h68,977,977,37
h4,h55,1059,1059,37
h4,h81,1005,1005,37
h9,h54,1208,1208,37
h12,h141,858,858,36
h2,h71,884,884,36
h20,h118,705,705,35
h24,h80,532,532,35
h25,h12,1202,1202,35
h26,h113,417,417,35
h9,h79,1172,1172,34
h10,h32,1070,1070,33
h29,h121,1354,1354,33
h6,h69,1403,1403,33
h21,h3,919,919,32
h14,h107,472,472,31
h15,h57,690,690,31
h19,h47,915,915,31
h19,h84,611,611,31
h2,h65,1409,1409,31
h29,h40,1467,1467,31
h8,h20,728,728,31
h19,h112,1378,1378,30
h3,h101,1513,1513,30
h5,h49,1388,1388,30
h13,h62,1280,1280,29
h19,h78,1197,1197,29
h24,h117,1266,1266,29
h26,h30,762,762,29
h30,h38,790,790,29
h6,h54,1367,1367,29
h8,h92,1139,1139,29
h9,h17,271,271,29
h15,h20,1446,1446,28
h19,h109,490,490,28
h28,h137,702,702,28
h31,h129,36,36,28
h4,h9,1212,1212,28
h9,h140,1109,1109,28
h9,h91,496,496,28
h10,h107,1376,1376,27
h12,h118,416,416,27
h2,h76,624,624,27
h20,h125,1253,1253,27
h21,h3,643,643,27
h6,h130,1380,1380,27
h8,h70,1341,1341,27
h11,h48,692,692,26
h17,h83,1226,1226,26
h21,h143,1239,1239,26
h24,h86,990,990,26
h25,h143,158,158,26
h27,h66,1084,1084,26
h31,h76,328,328,26
h6,h102,1379,1379,26
h1,h75,685,685,25
h19,h143,1242,1242,25
h20,h144,1175,1175,25
h3,h42,916,916,25
h30,h2,1219,1219,25
h32,h39,1459,1459,25
h10,h24,1166,1166,24
h12,h119,1227,1227,24
h15,h23,605,605,24
h2,h41,520,520,24
h20,h80,836,836,24
h31,h60,701,701,24
h31,h63,396,396,24
