flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h20,h43,1547,1547,48
h13,h52,1305,1305,47
h4,h94,2128,2128,47
h20,h15,2026,2026,46
h21,h50,1243,1243,46
h21,h65,1344,1344,46
h22,h101,1146,1146,46
h24,h86,1673,1673,46
h28,h141,1667,1667,44
h18,h71,775,775,43
h2,h94,1487,1487,43
h4,h104,2005,2005,43
h10,h131,2067,2067,42
h11,h24,1748,1748,42
h20,h69,860,860,42
h20,h97,2012,2012,42
h6,h73,1871,1871,42
h29,h39,2087,2087,40
h31,h55,1935,1935,40
h9,h131,299,299,39
h12,h25,1278,1278,38
h11,h52,326,326,37
h24,h124,2102,2102,37
h7,h22,642,642,37
h7,h71,1418,1418,37
h9,h115,1011,1011,37
h14,h129,1238,1238,36
h24,h141,744,744,36
h12,h60,1387,1387,35
h14,h125,2025,2025,35
h15,h17,1842,1842,35
h2,h135,1793,1793,35
h24,h86,1850,1850,35
h27,h109,1463,1463,35
h3,h21,770,770,35
h32,h134,2161,2161,35
h4,h119,2159,2159,35
h9,h122,1870,1870,35
h9,h79,1906,1906,35
h10,h136,2229,2229,34
h12,h133,1397,1397,34
h17,h42,1583,1583,34
h19,h11,2194,2194,34
h28,h66,1927,1927,34
h31,h126,304,304,34
h2,h24,1946,1946,33
h2,h75,641,641,33
h20,h138,1953,1953,33
h25,h142,620,620,33
h3,h115,1565,1565,33
h3,h39,1974,1974,33
h17,h121,2240,2240,32
h18,h47,2187,2187,32
h23,h16,1061,1061,32
h32,h60,701,701,32
h6,h128,1743,1743,32
h8,h120,1511,1511,32
h12,h23,874,874,31
h13,h76,1670,1670,31
h14,h106,1633,1633,31
h15,h127,1828,1828,31
h18,h66,1980,1980,31
h23,h35,933,933,31
h27,h132,2081,2081,31
h29,h133,1001,1001,31
h30,h32,1718,1718,31
h30,h35,536,536,31
h32,h110,1840,1840,31
h32,h97,966,966,31
h5,h89,459,459,31
h7,h121,799,799,31
h2,h95,1064,1064,30
h27,h16,781,781,30
h29,h139,1905,1905,30
h4,h123,1697,1697,30
h4,h140,761,761,30
h4,h31,570,570,30
h12,h119,754,754,29
h13,h70,1525,1525,29
h21,h128,2061,2061,29
h23,h81,1527,1527,29
h23,h86,1177,1177,29
h24,h83,1275,1275,29
h4,h81,1005,1005,29
h5,h101,2085,2085,29
h10,h104,2215,2215,28
h11,h67,1436,1436,28
h16,h80,1512,1512,28
h19,h70,542,542,28
h25,h80,852,852,28
h27,h53,882,882,28
h29,h128,2083,2083,28
h30,h46,322,322,28
h31,h144,1356,1356,28
h32,h141,854,854,28
h4,h98,663,663,28
h5,h97,1522,1522,28
h7,h102,1019,1019,28
h9,h111,481,481,28
h9,h72,1331,1331,28
h1,h23,161,161,27
h14,h56,1445,1445,27
h17,h95,1529,1529,27
h21,h143,1239,1239,27
h21,h34,1586,1586,27
h23,h115,1838,1838,27
h28,h127,1954,1954,27
h30,h99,265,265,27
h13,h35,1232,1232,26
h18,h64,1638,1638,26
h20,h39,2041,2041,26
h21,h46,1290,1290,26
h21,h70,1425,1425,26
h22,h42,1660,1660,26
h22,h60,741,741,26
h24,h106,743,743,26
h24,h72,1465,1465,26
h9,h73,1635,1635,26
h1,h103,2124,2124,25
h11,h124,1263,1263,25
h12,h110,500,500,25
h12,h56,1872,1872,25
h14,h47,1273,1273,25
h15,h63,2132,2132,25
h15,h74,1605,1605,25
h16,h50,1819,1819,25
h17,h2,1439,1439,25
h22,h48,1079,1079,25
h30,h128,2196,2196,25
h32,h144,969,969,25
h7,h103,1251,1251,25
h12,h116,1742,1742,24
h12,h40,470,470,24
h13,h69,1412,1412,24
h20,h57,1021,1021,24
h24,h39,991,991,24
h25,h80,716,716,24
h26,h135,2030,2030,24
h29,h59,1707,1707,24
h5,h19,1315,1315,24
h5,h20,800,800,24
h6,h21,2257,2257,24
h7,h33,1389,1389,24
h8,h55,1414,1414,24
h9,h129,864,864,24
h1,h75,867,867,23
h22,h92,2020,2020,23
h25,h70,125,125,23
h28,h84,2188,2188,23
h29,h21,964,964,23
h30,h139,2104,2104,23
h31,h118,1699,1699,23
h6,h65,1194,1194,23
h9,h46,1791,1791,23
h9,h58,1805,1805,23
h9,h84,1860,1860,23
h11,h126,1056,1056,22
h11,h140,1622,1622,22
h13,h76,865,865,22
h13,h97,807,807,22
h14,h116,317,317,22
h17,h13,2218,2218,22
h18,h55,1300,1300,22
h20,h101,1513,1513,22
h21,h127,1066,1066,22
h21,h128,1018,1018,22
h23,h64,1382,1382,22
h26,h70,1677,1677,22
h30,h144,1175,1175,22
h31,h12,677,677,22
h31,h43,1661,1661,22
h4,h108,2208,2208,22
h6,h134,1765,1765,22
h11,h107,409,409,21
h11,h28,462,462,21
h14,h132,1948,1948,21
h16,h137,2055,2055,21
h2,h51,1796,1796,21
h21,h94,1684,1684,21
h24,h123,816,816,21
h25,h39,742,742,21
h26,h55,796,796,21
h29,h49,524,524,21
h30,h1,2224,2224,21
h30,h43,603,603,21
h4,h90,1346,1346,21
h6,h97,1867,1867,21
h7,h61,2253,2253,21
h9,h134,1786,1786,21
h9,h142,402,402,21
h1,h114,1221,1221,20
h10,h36,1654,1654,20
h10,h70,1341,1341,20
h13,h47,1554,1554,20
h16,h119,787,787,20
h18,h111,948,948,20
h2,h13,2170,2170,20
h23,h61,2093,2093,20
h24,h69,1651,1651,20
h25,h12,808,808,20
h26,h101,1125,1125,20
h27,h96,2238,2238,20
h3,h110,191,191,20
h6,h1,1450,1450,20
h6,h57,507,507,20
h11,h20,461,461,19
h12,h134,832,832,19
h13,h44,803,803,19
h15,h73,802,802,19
h17,h16,162,162,19
h19,h132,1831,1831,19
h19,h15,1301,1301,19
h2,h74,1526,1526,19
h20,h125,1876,1876,19
h25,h39,1911,1911,19
h26,h17,518,518,19
h27,h40,1081,1081,19
h28,h4,381,381,19
h28,h45,2190,2190,19
h28,h45,926,926,19
h29,h3,1131,1131,19
h30,h90,1034,1034,19
h31,h68,1490,1490,19
h32,h107,1540,1540,19
h4,h30,1643,1643,19
h6,h137,1433,1433,19
h6,h14,1688,1688,19
h6,h51,2000,2000,19
h6,h54,1367,1367,19
h9,h94,1995,1995,19
h12,h28,2092,2092,18
h12,h77,892,892,18
h14,h127,698,698,18
h14,h27,1625,1625,18
h18,h112,2031,2031,18
h18,h128,1233,1233,18
h20,h76,1937,1937,18
h23,h4,1372,1372,18
h23,h9,2064,2064,18
h24,h105,1499,1499,18
h25,h114,978,978,18
h25,h91,529,529,18
h26,h122,1133,1133,18
h28,h127,1910,1910,18
h4,h41,708,708,18
h5,h110,1062,1062,18
h7,h126,2182,2182,18
h8,h15,1640,1640,18
h9,h41,1659,1659,18
h11,h66,2073,2073,17
h12,h26,1679,1679,17
h13,h32,1763,1763,17
h14,h134,2024,2024,17
h17,h139,1225,1225,17
h18,h57,615,615,17
h18,h61,2068,2068,17
h20,h49,772,772,17
h20,h95,1099,1099,17
h21,h81,1043,1043,17
h23,h70,1022,1022,17
h25,h143,2004,2004,17
h25,h66,1424,1424,17
h26,h35,1207,1207,17
h27,h45,1479,1479,17
h27,h93,1132,1132,17
h3,h102,695,695,17
h30,h10,1053,1053,17
h30,h124,227,227,17
h31,h10,1932,1932,17
h31,h97,1762,1762,17
h32,h79,1902,1902,17
h5,h6,894,894,17
h8,h115,1564,1564,17
h8,h119,2006,2006,17
h8,h131,588,588,17
h9,h43,1484,1484,17
h13,h58,809,809,16
h15,h29,1781,1781,16
h19,h67,1938,1938,16
h2,h32,1897,1897,16
h2,h97,2080,2080,16
h21,h88,855,855,16
h23,h103,1682,1682,16
h23,h86,1960,1960,16
h26,h105,1462,1462,16
h28,h89,1230,1230,16
h28,h91,1561,1561,16
h31,h36,2138,2138,16
h5,h138,727,727,16
h8,h40,756,756,16
h8,h41,2136,2136,16
h9,h142,1297,1297,16
h1,h20,1949,1949,15
h1,h61,447,447,15
h11,h103,108,108,15
h11,h125,1123,1123,15
h11,h57,24,24,15
h12,h62,527,527,15
h13,h56,1894,1894,15
h14,h99,1594,1594,15
h15,h45,314,314,15
h17,h133,1508,1508,15
h17,h83,1226,1226,15
h19,h113,815,815,15
h23,h5,2037,2037,15
h24,h135,1971,1971,15
h26,h2,1094,1094,15
h27,h134,924,924,15
h27,h70,291,291,15
h28,h108,1895,1895,15
h29,h121,2,2,15
h29,h14,2120,2120,15
h29,h47,1012,1012,15
h30,h22,1435,1435,15
h30,h58,429,429,15
h31,h118,670,670,15
h32,h102,192,192,15
h4,h29,1491,1491,15
h7,h114,2082,2082,15
h7,h144,2249,2249,15
h7,h47,915,915,15
h9,h85,640,640,15
h1,h124,231,231,14
h1,h60,361,361,14
h10,h38,292,292,14
h11,h121,602,602,14
h11,h72,1505,1505,14
h13,h41,568,568,14
h15,h7,713,713,14
h16,h63,396,396,14
