src,dst,srcport,dstport,expected_seqNum,received_seqNums,n_received_variants
h144,h1,661,661,30,31 32 33 34 35 36 37 38 39 40 41,11
h10,h1,662,662,24,26 27 28 29,4
h82,h2,391,391,910,911 912 913,3
h109,h2,490,490,186,188 189 190,3
h109,h2,490,490,688,690,1
h53,h2,725,725,24,25 27 28 29 30 31 32 33 34,9
h121,h2,730,730,2734,2735 2736 2737 2738 2739 2740 2741 2742,8
h141,h2,463,463,5172,5173 5174 5175 5176 5177 5178 5179,7
h76,h5,412,412,568,569 570,2
h76,h5,412,412,1000,1001 1002 1003,3
h62,h5,583,583,15,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,15
h64,h5,300,300,2267,2268 2269 2270 2271,4
h100,h5,407,407,2241,2242 2243 2244 2245 2246,5
h109,h5,735,735,20,21 22 23 24 25 26 27 28 29,9
h130,h5,435,435,2284,2285 2287 2288,3
h131,h5,559,559,870,873 874 875,3
h107,h7,320,320,21,24 28 29 30 31 32 33 34 35,9
h78,h7,260,260,2605,2606 2607 2608,3
h23,h7,719,719,373,374 375 376,3
h23,h7,719,719,2826,2827 2828 2829 2830 2831 2832 2833 2834 2835,9
h30,h7,540,540,1732,1733 1734 1735 1736 1737,5
h15,h7,457,457,3270,3271 3272 3273 3274,4
h21,h8,257,257,42,43 46 47 48 49 50 51 52,8
h44,h8,262,262,2413,2414 2415 2416 2418 2419 2420 2421,7
h98,h8,663,663,853,855 856 857 858 859 860 861 862 863,9
h46,h8,598,598,1370,1371 1372 1373 1374 1375 1376 1377,7
h29,h8,127,127,5386,5388 5389 5390 5391,4
h10,h8,86,86,483,484,1
h3,h9,149,149,3386,3387 3388,2
h3,h9,149,149,3929,3930 3931 3932 3933,4
h3,h9,149,149,3934,3935 3936 3937 3938,4
h3,h9,149,149,4350,4352,1
h3,h9,149,149,4433,4434 4435 4436 4437 4438,5
h3,h9,149,149,4534,4536 4537 4538,3
h3,h9,149,149,4555,4556 4557,2
h3,h9,149,149,4611,4613 4614,2
h3,h9,149,149,4615,4616 4617,2
h3,h9,149,149,4632,4634,1
h25,h9,390,390,250,251 252 253 254 255 256,6
