flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h18,h60,741,741,49
h10,h138,727,727,48
h5,h109,538,538,42
h17,h103,268,268,37
h26,h20,461,461,31
h27,h127,433,433,29
h7,h78,260,260,28
h13,h57,615,615,26
h3,h128,353,353,26
h21,h102,695,695,25
h7,h132,541,541,25
h7,h49,772,772,25
h28,h137,702,702,24
h1,h10,662,662,23
h14,h23,325,325,22
h14,h46,736,736,22
h2,h86,561,561,22
h29,h55,181,181,22
h5,h30,164,164,22
h1,h91,529,529,21
h11,h138,201,201,21
h13,h35,531,531,21
h25,h132,562,562,21
h11,h52,326,326,20
h15,h20,254,254,20
h22,h121,521,521,20
h22,h132,157,157,20
h13,h144,612,612,18
h18,h142,620,620,18
h19,h3,643,643,18
h22,h80,532,532,18
h24,h7,713,713,18
h26,h131,80,80,18
h31,h48,760,760,18
h5,h23,714,714,18
h10,h28,110,110,17
h2,h18,30,30,17
h20,h57,185,185,17
h20,h8,675,675,17
h24,h37,60,60,17
h25,h99,238,238,17
h27,h7,266,266,17
h3,h19,195,195,17
h31,h12,677,677,17
h11,h43,603,603,16
h14,h118,213,213,16
h15,h62,527,527,16
h3,h26,630,630,16
h20,h83,102,102,15
h29,h39,742,742,15
h29,h49,524,524,15
h30,h143,557,557,15
h7,h30,540,540,15
h8,h46,598,598,15
h9,h38,392,392,15
h14,h127,698,698,14
h15,h6,740,740,14
h25,h139,37,37,14
h31,h94,492,492,14
h5,h34,738,738,14
h7,h58,610,610,14
h7,h72,454,454,14
h8,h98,57,57,14
h1,h24,765,765,13
h1,h91,177,177,13
h10,h63,458,458,13
h13,h93,344,344,13
h16,h116,73,73,13
h19,h6,143,143,13
h21,h21,770,770,13
h25,h84,611,611,13
h26,h76,225,225,13
h5,h64,300,300,13
h9,h88,755,755,13
h13,h15,311,311,12
h15,h89,459,459,12
h18,h57,507,507,12
h24,h17,271,271,12
h26,h117,737,737,12
h26,h128,214,214,12
h26,h13,440,440,12
h28,h40,756,756,12
h28,h95,269,269,12
h3,h119,256,256,12
h30,h32,434,434,12
h4,h113,648,648,12
h11,h107,324,324,11
h12,h32,404,404,11
h17,h116,152,152,11
h17,h79,122,122,11
h2,h76,624,624,11
h2,h82,391,391,11
h21,h10,606,606,11
h24,h120,329,329,11
h25,h34,98,98,11
h28,h10,174,174,11
h5,h112,171,171,11
h10,h105,475,475,10
h12,h110,500,500,10
h13,h43,444,444,10
h13,h97,341,341,10
h14,h130,302,302,10
h2,h116,712,712,10
h27,h66,82,82,10
h31,h58,113,113,10
h32,h63,380,380,10
h32,h70,125,125,10
h32,h72,182,182,10
h8,h98,663,663,10
h11,h70,95,95,9
h15,h17,518,518,9
h18,h102,650,650,9
h18,h27,460,460,9
h19,h124,227,227,9
h21,h1,345,345,9
h21,h6,636,636,9
h25,h2,676,676,9
h26,h124,231,231,9
h26,h68,375,375,9
h27,h138,750,750,9
h27,h140,48,48,9
h29,h82,510,510,9
h4,h51,607,607,9
h6,h74,699,699,9
h9,h89,488,488,9
h1,h97,608,608,8
h15,h98,74,74,8
h17,h105,627,627,8
h17,h98,411,411,8
h20,h123,678,678,8
h20,h26,280,280,8
h20,h35,536,536,8
h24,h54,318,318,8
h28,h142,402,402,8
h28,h60,701,701,8
h30,h103,179,179,8
h32,h121,357,357,8
h7,h22,485,485,8
h9,h49,569,569,8
h9,h67,352,352,8
h15,h105,673,673,7
h18,h24,651,651,7
h19,h15,7,7,7
h2,h141,463,463,7
h22,h142,442,442,7
h23,h143,682,682,7
h27,h132,420,420,7
h27,h132,580,580,7
h30,h54,156,156,7
h30,h55,414,414,7
h32,h33,385,385,7
h32,h88,16,16,7
h6,h77,62,62,7
h7,h15,457,457,7
h8,h29,127,127,7
h8,h44,262,262,7
h9,h25,390,390,7
h11,h103,39,39,6
h12,h95,516,516,6
h14,h1,366,366,6
h14,h99,265,265,6
h15,h78,120,120,6
h16,h68,571,571,6
h17,h28,674,674,6
h17,h43,619,619,6
h18,h4,415,415,6
h2,h109,490,490,6
h20,h20,728,728,6
h20,h22,642,642,6
h20,h76,328,328,6
h21,h137,759,759,6
h24,h124,693,693,6
h25,h131,236,236,6
h25,h58,664,664,6
h26,h117,456,456,6
h27,h70,291,291,6
h29,h116,317,317,6
h30,h95,467,467,6
h32,h51,498,498,6
h5,h131,559,559,6
h5,h65,577,577,6
h7,h23,719,719,6
h14,h107,472,472,5
h17,h28,758,758,5
h18,h119,754,754,5
h21,h73,445,445,5
h23,h74,578,578,5
h25,h131,299,299,5
h25,h6,261,261,5
h25,h82,216,216,5
h27,h91,496,496,5
h28,h56,589,589,5
h28,h63,394,394,5
h3,h67,96,96,5
h32,h16,162,162,5
h5,h76,412,412,5
h8,h57,24,24,5
h9,h3,149,149,5
h9,h92,323,323,5
h14,h121,602,602,4
h15,h85,640,640,4
h18,h60,361,361,4
h20,h112,356,356,4
h22,h28,659,659,4
h22,h69,107,107,4
h26,h42,150,150,4
h30,h90,337,337,4
h32,h121,76,76,4
h9,h108,551,551,4
h9,h4,511,511,4
h11,h36,316,316,3
h3,h121,2,2,3
h32,h100,438,438,3
h5,h74,259,259,3
h9,h39,298,298,3
h15,h125,616,616,2
h26,h2,560,560,2
h31,h68,45,45,2
h7,h42,556,556,2
h9,h31,387,387,2
h1,h144,661,661,1
h24,h14,635,635,1
