flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h13,h17,1471,1471,45
h4,h113,648,648,43
h25,h122,883,883,41
h19,h47,915,915,40
h12,h23,874,874,39
h19,h125,1123,1123,38
h31,h97,1184,1184,37
h32,h60,741,741,37
h5,h116,1473,1473,36
h25,h143,158,158,34
h32,h69,1412,1412,34
h11,h46,598,598,33
h5,h35,536,536,33
h5,h37,887,887,32
h7,h65,431,431,32
h9,h17,271,271,32
h18,h91,529,529,31
h32,h121,357,357,31
h4,h135,1092,1092,31
h11,h70,1427,1427,30
h12,h110,1134,1134,30
h15,h45,1475,1475,30
h31,h129,36,36,30
h1,h116,712,712,29
h18,h108,846,846,29
h18,h134,739,739,29
h28,h67,1436,1436,29
h29,h120,1511,1511,29
h5,h22,1435,1435,29
h1,h65,1344,1344,28
h16,h79,1474,1474,28
h17,h60,469,469,28
h18,h48,528,528,28
h19,h84,611,611,28
h8,h77,1211,1211,28
h8,h92,1139,1139,28
h9,h91,496,496,28
h10,h24,1166,1166,27
h12,h102,1128,1128,27
h31,h24,1477,1477,27
h31,h26,630,630,27
h9,h125,1078,1078,27
h10,h90,1176,1176,26
h15,h59,949,949,26
h17,h122,1133,1133,26
h23,h44,574,574,26
h25,h113,951,951,26
h26,h48,760,760,26
h30,h129,864,864,26
h16,h38,1384,1384,25
h19,h73,944,944,25
h2,h72,1331,1331,25
h23,h124,1095,1095,25
h28,h49,1287,1287,25
h30,h2,1219,1219,25
h4,h30,1448,1448,25
h4,h60,1374,1374,25
h8,h55,1414,1414,25
h9,h67,352,352,25
h10,h31,1047,1047,24
h11,h144,1411,1411,24
h13,h52,1305,1305,24
h27,h127,1066,1066,24
h31,h76,328,328,24
h8,h20,728,728,24
h10,h70,125,125,23
h11,h49,772,772,23
h14,h107,472,472,23
h17,h134,924,924,23
h17,h6,740,740,23
h17,h8,1320,1320,23
h24,h67,1396,1396,23
h27,h132,1026,1026,23
h27,h51,908,908,23
h28,h131,1215,1215,23
h5,h20,800,800,23
h8,h73,802,802,23
h24,h143,994,994,22
h24,h83,1275,1275,22
h26,h113,417,417,22
h10,h117,1031,1031,21
h10,h88,1169,1169,21
h12,h141,858,858,21
h12,h56,1408,1408,21
h16,h51,1334,1334,21
h21,h3,919,919,21
h25,h95,1077,1077,21
h25,h99,238,238,21
h29,h121,1354,1354,21
h7,h2,1439,1439,21
h7,h41,779,779,21
h10,h19,1315,1315,20
h13,h143,1111,1111,20
h15,h97,966,966,20
h18,h11,837,837,20
h19,h114,978,978,20
h19,h28,462,462,20
h19,h9,523,523,20
