flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h5,h109,538,538,37
h25,h132,562,562,34
h26,h20,461,461,33
h28,h56,589,589,32
h27,h127,433,433,31
h11,h52,326,326,29
h14,h23,325,325,29
h3,h128,353,353,27
h21,h140,473,473,26
h20,h8,675,675,25
h5,h34,738,738,24
h13,h144,612,612,22
h7,h132,541,541,21
h7,h78,260,260,21
h9,h89,488,488,21
h11,h43,603,603,20
h16,h116,73,73,20
h18,h119,754,754,20
h27,h7,266,266,20
h26,h131,80,80,19
h27,h34,666,666,19
h18,h57,507,507,18
h18,h60,741,741,18
h21,h1,345,345,18
h28,h40,756,756,18
h17,h105,627,627,17
h2,h86,561,561,17
h28,h95,269,269,17
h5,h30,164,164,17
h1,h75,685,685,16
h15,h6,740,740,16
h25,h84,611,611,16
h29,h55,181,181,16
h4,h51,607,607,16
h13,h35,531,531,15
h14,h130,302,302,15
h22,h132,157,157,15
h27,h57,374,374,15
h30,h95,467,467,15
h5,h76,412,412,15
h13,h57,615,615,14
h14,h46,736,736,14
h25,h128,506,506,14
h25,h139,37,37,14
h26,h117,737,737,14
h31,h94,492,492,14
h5,h64,300,300,14
h11,h36,316,316,13
h15,h89,459,459,13
h24,h106,743,743,13
h28,h63,394,394,13
h1,h91,177,177,12
h15,h13,649,649,12
h22,h121,521,521,12
h25,h99,238,238,12
h26,h13,440,440,12
h28,h142,402,402,12
h4,h41,708,708,12
h5,h112,171,171,12
h11,h103,39,39,11
h14,h99,265,265,11
h21,h65,431,431,11
h27,h138,750,750,11
h30,h55,414,414,11
h32,h72,182,182,11
h17,h28,758,758,10
h23,h117,338,338,10
h27,h140,48,48,10
h31,h58,113,113,10
h7,h30,540,540,10
h18,h55,732,732,9
h2,h76,624,624,9
h22,h80,532,532,9
h25,h6,261,261,9
h27,h132,420,420,9
h32,h16,162,162,9
h8,h98,663,663,9
h1,h144,661,661,8
h10,h63,458,458,8
h12,h95,516,516,8
h17,h103,268,268,8
h19,h6,143,143,8
h2,h18,30,30,8
h20,h20,728,728,8
h20,h26,280,280,8
h20,h57,185,185,8
h22,h35,486,486,8
h26,h117,456,456,8
h27,h100,683,683,8
h28,h137,702,702,8
h29,h116,317,317,8
h31,h87,93,93,8
h32,h70,125,125,8
h11,h70,95,95,7
h12,h32,404,404,7
h15,h20,254,254,7
h18,h48,480,480,7
h19,h124,227,227,7
h2,h141,342,342,7
h20,h123,678,678,7
h21,h6,636,636,7
h27,h77,600,600,7
h30,h54,156,156,7
h32,h121,357,357,7
h32,h121,76,76,7
h7,h22,485,485,7
h7,h79,38,38,7
h8,h46,598,598,7
h12,h110,500,500,6
h14,h118,213,213,6
h17,h28,674,674,6
h18,h142,620,620,6
h2,h82,391,391,6
h20,h129,330,330,6
h20,h58,331,331,6
h21,h10,606,606,6
h21,h117,378,378,6
h23,h143,682,682,6
h24,h120,329,329,6
h26,h124,231,231,6
h27,h66,82,82,6
h27,h70,291,291,6
h30,h32,434,434,6
h32,h30,360,360,6
h32,h33,385,385,6
h32,h33,704,704,6
h5,h131,559,559,6
h8,h44,262,262,6
h9,h92,323,323,6
h1,h10,662,662,5
h15,h98,74,74,5
h16,h68,571,571,5
h17,h43,619,619,5
h17,h79,122,122,5
h18,h24,651,651,5
h18,h60,361,361,5
h2,h109,490,490,5
h22,h69,107,107,5
h23,h138,395,395,5
h24,h17,271,271,5
h24,h7,713,713,5
h26,h42,150,150,5
h29,h82,510,510,5
h3,h106,28,28,5
h3,h119,256,256,5
h32,h88,16,16,5
h4,h113,648,648,5
h5,h100,407,407,5
h5,h130,435,435,5
h5,h65,577,577,5
h8,h57,24,24,5
h9,h3,149,149,5
h9,h39,298,298,5
h9,h49,569,569,5
h1,h97,608,608,4
h15,h85,640,640,4
h18,h27,460,460,4
h20,h22,642,642,4
h20,h35,536,536,4
h21,h137,759,759,4
h22,h131,588,588,4
h22,h142,442,442,4
h25,h131,299,299,4
h26,h128,214,214,4
h26,h68,375,375,4
h27,h91,496,496,4
h28,h60,701,701,4
h30,h103,179,179,4
h32,h100,438,438,4
h9,h25,390,390,4
h9,h4,511,511,4
h15,h17,518,518,3
h2,h141,463,463,3
h24,h54,318,318,3
h25,h34,98,98,3
h4,h115,644,644,3
h5,h74,259,259,3
h7,h107,320,320,3
h9,h31,387,387,3
h1,h131,631,631,2
h13,h15,311,311,2
h13,h78,494,494,2
h13,h93,344,344,2
h14,h107,472,472,2
h14,h53,301,301,2
h15,h125,616,616,2
h18,h4,415,415,2
h20,h112,356,356,2
h21,h73,445,445,2
h13,h43,444,444,1
h14,h1,366,366,1
h22,h140,522,522,1
h6,h70,132,132,1
