t,i0,i1,i2,i3,i4,i5,i6,i7
1,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0
11,10,0,0,0,0,0,0,0
12,12,0,0,0,0,0,0,0
13,12,0,0,0,0,0,0,0
14,14,0,0,0,0,0,0,0
15,14,0,0,0,0,0,0,0
16,16,0,0,0,0,0,0,0
17,16,0,0,0,0,0,0,0
18,18,0,0,0,0,0,0,0
19,18,0,0,0,0,0,0,0
20,20,0,0,0,0,0,0,0
21,20,0,0,0,0,0,0,0
22,22,0,0,0,0,0,0,0
23,22,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,0
25,24,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0
27,26,0,0,0,0,0,0,0
28,28,0,0,0,0,0,0,0
29,28,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0
31,30,0,0,0,0,0,0,0
32,32,0,0,0,0,0,0,0
33,32,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0
35,34,0,0,0,0,0,0,0
36,36,0,0,0,0,0,0,0
37,36,0,0,0,0,0,0,0
38,38,0,0,0,0,0,0,0
39,38,0,0,0,0,0,0,0
40,39,0,0,0,0,0,0,0
41,39,0,0,0,0,0,0,0
42,40,0,0,0,0,0,0,0
43,40,0,0,0,0,0,0,0
44,41,0,0,0,0,0,0,0
45,41,0,0,0,0,0,0,0
46,42,0,0,0,0,0,0,0
47,42,0,0,0,0,0,0,0
48,43,0,0,0,0,0,0,0
49,43,0,0,0,0,0,0,0
50,44,0,0,0,0,0,0,0
51,44,0,0,0,0,0,0,0
52,45,0,0,0,0,0,0,0
53,45,0,0,0,0,0,0,0
54,46,0,0,0,0,0,0,0
55,46,0,0,0,0,0,0,0
56,47,0,0,0,0,0,0,0
57,47,0,0,0,0,0,0,0
58,48,0,0,0,0,0,0,0
59,48,0,0,0,0,0,0,0
60,49,0,0,0,0,0,0,0
61,49,0,0,0,0,0,0,0
62,50,0,0,0,0,0,0,0
63,50,0,0,0,0,0,0,0
64,51,0,0,0,0,0,0,0
65,51,0,0,0,0,0,0,0
66,52,0,0,0,0,0,0,0
67,52,0,0,0,0,0,0,0
68,53,0,0,0,0,0,0,0
69,53,0,0,0,0,0,0,0
70,54,0,0,0,0,0,0,0
71,54,0,0,0,0,0,0,0
72,55,0,0,0,0,0,0,0
73,55,0,0,0,0,0,0,0
74,56,0,0,0,0,0,0,0
75,56,0,0,0,0,0,0,0
76,57,0,0,0,0,0,0,0
